source,detector,type,ShortSeperation,cond,beta,se,tstat,dfe,p,q,minDiscoverableChange,RelativePower,subject,age,gender,handed
6,7,hbr,0,open_phys_01,-13.424177771827,8.63201321132995,-1.55516186585617,25917.770308397,0.119919733937152,0.514401003483764,21.4639111246072,0.190672468289571,672,,,
7,5,hbo,0,open_phys_01,NaN,NaN,NaN,25917.770308397,NaN,NaN,NaN,NaN,672,,,
7,5,hbr,0,open_phys_01,NaN,NaN,NaN,25917.770308397,NaN,NaN,NaN,NaN,672,,,
7,7,hbo,0,open_phys_01,8.78604324470134,13.3008010448062,0.660564970117511,25917.770308397,0.508897210905389,0.975855229192602,33.0730739773528,0.123743469266851,672,,,
7,7,hbr,0,open_phys_01,-6.15306197026809,2.64924308759742,-2.32257356792738,25917.770308397,0.0202097758639549,0.169296551739937,6.58746885431494,0.621266984905152,672,,,
8,6,hbo,0,open_phys_01,-24.7060570388375,11.7061646903722,-2.1105167825938,25917.770308397,0.0348234211880651,0.248738722771894,29.1079348899017,0.140600043553645,672,,,
8,6,hbr,0,open_phys_01,-6.00392252574283,5.76740213632438,-1.04100986611091,25917.770308397,0.29788067988927,0.758879702213572,14.3409195332851,0.285377580132015,672,,,
8,7,hbo,0,open_phys_01,-27.4950095846455,9.96808897998111,-2.75830298464065,25917.770308397,0.0058143036486825,0.0726787956085313,24.7861270262731,0.165115627340195,672,,,
8,7,hbr,0,open_phys_01,-7.50062964318733,2.86707054719573,-2.61613012994175,25917.770308397,0.00889842220612163,0.0968535750326164,7.1291071858203,0.574065841150055,672,,,
1,1,hbo,0,open_phys_02,-4.14587312634191,12.1780083614905,-0.340439339773492,25917.770308397,0.733528456313107,1,30.2811966045965,0.135152417083003,672,,,
1,1,hbr,0,open_phys_02,-1.07826552283193,2.45137097087614,-0.439862238576869,25917.770308397,0.660040554517563,1,6.09545043133931,0.671415010158258,672,,,
1,2,hbo,0,open_phys_02,NaN,NaN,NaN,25917.770308397,NaN,NaN,NaN,NaN,672,,,
1,2,hbr,0,open_phys_02,NaN,NaN,NaN,25917.770308397,NaN,NaN,NaN,NaN,672,,,
2,1,hbo,0,open_phys_02,8.19797473290862,13.8571784897924,0.591604902754734,25917.770308397,0.554120349974957,1,34.4565329386119,0.118775064240161,672,,,
2,1,hbr,0,open_phys_02,2.20995553173775,5.47676082943841,0.403515070415146,25917.770308397,0.686572679275047,1,13.6182261096985,0.300522026900568,672,,,
2,3,hbo,0,open_phys_02,12.321948139386,15.6479196483021,0.787449604569195,25917.770308397,0.431025919359334,0.912224167956263,38.9092959421461,0.105182497245955,672,,,
2,3,hbr,0,open_phys_02,0.372044988691599,6.33313814741606,0.058745756058297,25917.770308397,0.953155067081654,1,15.7476490139726,0.259884945978005,672,,,
3,1,hbo,0,open_phys_02,0.381577137228968,15.9524658407709,0.0239196335561957,25917.770308397,0.980916897594442,1,39.6665645246255,0.103174473572979,672,,,
3,1,hbr,0,open_phys_02,8.46152439843548,11.5807523631577,0.730654117547189,25917.770308397,0.464997052234576,0.938203384079851,28.7960911775069,0.142122654357811,672,,,
3,3,hbo,0,open_phys_02,15.0227486618266,9.76933442861296,1.53774535733234,25917.770308397,0.124123096244145,0.521251847744441,24.2919143876064,0.168474861551663,672,,,
3,3,hbr,0,open_phys_02,1.94602289641937,2.39770111377246,0.811620299645091,25917.770308397,0.417016993148401,0.903009311626569,5.96199778075348,0.686443884043113,672,,,
3,4,hbo,0,open_phys_02,-5.57403804564188,10.8612536801845,-0.513203927444516,25917.770308397,0.607813053295113,1,27.0070235049345,0.151537503291656,672,,,
3,4,hbr,0,open_phys_02,2.64885930582654,3.3690847749844,0.786225186583143,25917.770308397,0.431742761094567,0.912339052464045,8.37738942366505,0.488526521366648,672,,,
4,2,hbo,0,open_phys_02,NaN,NaN,NaN,25917.770308397,NaN,NaN,NaN,NaN,672,,,
